Account #: 401	Balance: 99985.61	Creation date: 30.04.1996
Account #: 874	Balance: 98264.27	Creation date: 24.12.1976
Account #: 775	Balance: 46175.73	Creation date: 21.09.1993
Account #: 176	Balance: 85993.26	Creation date: 31.07.2008
Account #: 877	Balance: 71457.14	Creation date: 01.05.2008
Account #: 978	Balance: 12852.24	Creation date: 26.02.2014
Account #: 779	Balance: 99851.04	Creation date: 03.08.1971
Account #: 580	Balance: 72896.96	Creation date: 19.01.2007
Account #: 381	Balance: 94602.57	Creation date: 07.10.1998
Account #: 882	Balance: 96864.68	Creation date: 18.08.1999
Account #: 283	Balance: 86447.54	Creation date: 18.10.2004
Account #: 984	Balance: 87218.77	Creation date: 16.11.1976
Account #: 885	Balance: 46988.07	Creation date: 26.01.1979
Account #: 386	Balance: 45187.69	Creation date: 24.08.1996
Account #: 987	Balance: 14351.35	Creation date: 22.12.1986
Account #: 1088	Balance: 89368.79	Creation date: 22.04.1977
Account #: 789	Balance: 56314.88	Creation date: 02.06.1970
Account #: 290	Balance: 94369.88	Creation date: 23.02.1981
Account #: 991	Balance: 98298.35	Creation date: 07.06.1997
Account #: 892	Balance: 70724.11	Creation date: 16.08.1996
Account #: 193	Balance: 76311.64	Creation date: 17.10.1983
Account #: 494	Balance: 4270.46	Creation date: 25.07.1984
Account #: 195	Balance: 15785.89	Creation date: 11.02.2000
Account #: 296	Balance: 50610.70	Creation date: 21.12.1990
Account #: 897	Balance: 52313.50	Creation date: 03.09.1997
Account #: 898	Balance: 75342.36	Creation date: 29.05.2001
Account #: 899	Balance: 39234.25	Creation date: 04.05.1972
Account #: 500	Balance: 66670.21	Creation date: 25.09.1998
